"","AMBIENT_TEMP.PROCESS_VALUE","BIO_1.LEVEL.PROCESS_VALUE","BIO_1.TEMPERATURE.PROCESS_VALUE","BIO_1.TSS.PROCESS_VALUE","BIO_2.LEVEL.PROCESS_VALUE","BIO_2.TEMPERATURE.PROCESS_VALUE","BIO_2.TSS.PROCESS_VALUE","BIO_BLOWER_1.FLOW.PROCESS_VALUE","BIO_BLOWER_2.FLOW.PROCESS_VALUE","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_1","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_2","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_1","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_2","MBR.BATCH_VOLUME","MBR_1.INF_FLOW.PROCESS_VALUE","MBR_1.LEVEL.PROCESS_VALUE","MBR_1.PERM_FLOW.PROCESS_VALUE","MBR_1.PERM_PRESS.PROCESS_VALUE","MBR_1.TRANS_PRESS.PROCESS_VALUE","MBR_2.INF_FLOW.PROCESS_VALUE","MBR_2.LEVEL.PROCESS_VALUE","MBR_2.PERM_FLOW.PROCESS_VALUE","MBR_2.PERM_PRESS.PROCESS_VALUE","MBR_2.TRANS_PRESS.PROCESS_VALUE","PERMEATE_TANK.CONDUCTIVITY.PROCESS_VALUE","PERMEATE_TANK.LEVEL.PROCESS_VALUE","PERMEATE_TANK.TURBIDITY.PROCESS_VALUE","RAS_TROUGH.DO.PROCESS_VALUE","RAS_TROUGH.PH.PROCESS_VALUE","RAS_TROUGH.TEMPERATURE.PROCESS_VALUE","RAS_TROUGH.TSS.PROCESS_VALUE","SEWAGE.FLOW.PROCESS_VALUE","SEWAGE.FLOW.TOTAL_BATCH","SEWAGE.LEVEL.PROCESS_VALUE","WAS_FLOW.PROCESS_VALUE"
"2017-01-27 03:29:59",50,5.54999971,56,4343,5.9000001,59,5077,0.1,14.26000038,5.4125000875,5.4125000875,3.69666671966667,3.69666671966667,3.69666671966667,291.72000122,10.120000266,9.873999882,3.35750006525,14.11416688675,0.2075000055,10.020000076,9.985999678,3.30416676133333,13.89750006175,0.373333334583333,783,3.12999988,0.0398,0,6.4000001,58,3919,0,202.54199219,2.687999942,0
"2017-01-27 03:39:56",50,5.44000006,56,4193,5.90999985,59,4119,0.1,13.66000019,5.40084043529412,5.40084043529412,3.69579837310924,3.69579837310924,3.69579837310924,291.72000122,10.010000038,9.872999956,3.36218494109244,14.1462187236975,0.195798323865546,9.970000171,9.987999724,3.34201688579832,13.900000075042,0.376470589243697,782,3.13999987,0.0436,0,6.4000001,58,3880,0,202.54199219,2.747000003,0
"2017-01-27 03:49:59",50,5.36999989,56,4296,5.87999964,59,4855,15.310000038,0.01,5.40333343,5.40333343,3.69750005225,3.69750005225,3.69750005225,291.72000122,9.930000304,9.86699982,3.354166726,14.1308336246667,0.186666670083333,9.780000304,9.987999724,3.338333426,13.9083333729167,0.37750000075,782,3.12999988,0.101100002,0,6.4000001,58,3881,0,202.54199219,2.804999945,0
"2017-01-27 03:59:56",50,5.29999971,56,4206,5.88999987,59,4665,14.770000267,0.02,5.4000001,5.4000001,3.6983193792437,3.6983193792437,3.6983193792437,291.72000122,10.280000209,9.867999747,3.38739501831933,14.1529415740336,0.168067228403361,7.810000086,9.982999609,3.28403369714286,13.8949580470588,0.371428572857143,782,3.13999987,0.0398,0,6.4000001,58,4422,0,202.54199219,2.841999908,0
"2017-01-27 04:09:58",50,5.19999981,56,4326,5.87999964,59,4546,0.1,11.350000083,5.4025000975,5.4025000975,3.69750005225,3.69750005225,3.69750005225,291.72000122,10.450000285,9.872999861,3.38500006791667,14.1908337576667,0.154166667166667,7.240000106,9.982999705,3.36333343183333,13.9125000554167,0.37583333425,783,3.14999986,0.0382,0,6.4000001,58,4268,0,202.54199219,2.845999904,0
"2017-01-27 04:19:55",50,5.0999999,56,4342,5.90999985,59,4899,0.1,12.940000152,5.71176482546218,5.04033616142857,3.72352943823529,2.5000000210084,2.28067228865546,217.988562448571,10.419999981,9.825999737,0.969747916302521,14.4487397560504,0.0420168067226891,7.900000098,9.936999607,0.967226913865546,14.0966388231092,0.122689076134454,782,3.13999987,0.0369,0,6.4000001,58,4200,20.130000114,119.978523174538,2.73699994,0.46974790394958
"2017-01-27 04:29:56",50,5.46999979,56,4572,5.75999975,59,4544,13.06,0,5.16333342358333,5.47750007283333,3.74333336475,1.80333334666667,1.94000001808333,188.49598694,10.330000209,9.871999835,0,14.5641669105,0,8.30000019,9.984999847,0,14.30000019,0,782,3.07999992,0.0399,0,6.5999999,58,3989,0,202.646498742083,2.641999868,0
"2017-01-27 04:39:58",49,5.51999998,56,4411,5.73000002,59,4945,19.260000648,0.01,5.78333343625,4.85166668883333,3.731666685,2.02333334125,1.70833334375,188.49598694,10.180000019,9.864999772,0,14.560000228,0,8.810000228,9.982999801,0,14.301666863,0,780,3.06999993,0.071500008,0,6.4000001,58,3942,0,202.83074951,2.670999839,0
"2017-01-27 04:49:55",49,5.48999977,56,4659,5.71000004,59,4687,0.1,12.210000261,4.87394965966387,5.74369752689076,3.72941178521008,1.69579832521008,2.00252102260504,188.49598694,10.030000114,9.873999787,0,14.5697481642017,0,9.060000228,9.984999751,0,14.3008405293277,0,781,3.07999992,0.073600006,0,6.4000001,58,3979,0,202.83074951,2.699000051,0
"2017-01-27 04:59:57",49,5.48999977,56,4253,5.71000004,59,4968,0.1,14.179999972,5.45500009816667,5.22666671258333,3.75333335275,1.91333334075,1.840000012,188.49598694,10.110000228,9.86799984,0,14.5591668915,0,8.150000191,9.985999678,0,14.30000019,0,783,3.07999992,0.0683,0,6.4000001,58,4440,0,202.83074951,2.732000018,0
"2017-01-27 05:09:55",49,5.48999977,56,4853,5.65999985,59,4690,13.380000076,0,5.47563035907563,5.18907567016807,3.73613446764706,1.91680672815126,1.8193277394958,188.49598694,10.380000494,9.876999759,0,14.5596640922689,0,7.760000135,9.976999855,0,14.30000019,0,781,3.06999993,0.063,0,6.4000001,58,4292,0,202.83074951,2.760999989,0
"2017-01-27 05:19:56",49,5.52999973,56,4404,5.62999964,59,4664,13.110000133,0.07,4.92666674425,5.68500003008333,3.72583335741667,1.71000000875,1.98500001491667,218.415990193333,10.460000323,9.828999901,1.95750003225,14.38083342675,0.0475,8.40000019,9.942999649,1.79333333675,14.1633333444167,0.14166667125,781,3.07999992,0.0588,0,6.4000001,58,4204,19.470000266,119.99238423475,2.690999961,0.402499997666667
"2017-01-27 05:29:59",49,5.44999981,56,4337,6.02999973,59,4858,0.11,11.210000152,5.7675000665,4.86083335075,3.74833336191667,2.03416667625,1.71416668566667,233.37599182,10.440000342,9.858999825,2.9658333565,14.0916666745833,0.0891666666666667,8.75000019,9.976999855,2.89500000275,13.8333332145833,0.265833341916667,783,3.12999988,0.04,0,6.4000001,58,3918,0,201.928487013667,2.601999902,0
"2017-01-27 05:39:55",49,5.36999989,56,4020,6.08999968,59,4912,0.11,16.910000228,5.11344546596639,5.53781512605042,3.72268910294118,1.78235295504202,1.94033614789916,233.37599182,10.280000114,9.868999768,2.95462187462185,14.1966386682353,0.0789915966386555,9.000000095,9.972999763,2.94033613722689,13.9529410535294,0.247899167647059,782,3.05999994,0.0365,0,6.4000001,58,3860,0,202.79194641,2.641999868,0
"2017-01-27 05:49:57",50,5.27999973,56,4571,6.05999994,59,4906,13.690000688,0,5.28916677591667,5.23750002375,3.73500002316667,1.83916667333333,1.83416668233333,233.37599182,10.110000228,9.862999916,2.92833335558333,14.1716666856667,0.08,9.010000228,9.983999632,2.90583333583333,13.9224998796667,0.2533333415,784,3.11999989,0.0338,0,6.4000001,58,3912,0,202.79194641,2.677999904,0
"2017-01-27 05:59:59",50,5.23999977,56,4452,6.05999994,59,4998,19.15000042,0.01,5.69333342675,4.96666673,3.74750002741667,2.00000001666667,1.74750001075,233.37599182,10.10000019,9.860999775,2.9275000235,14.2008333523333,0.0791666666666667,7.710000134,9.97199974,2.93000000216667,13.9566665495,0.247500007916667,784,3.12999988,0.036,0,6.4000001,58,4493,0,202.79194641,2.713000037,0
"2017-01-27 06:09:56",49,5.11999989,56,4583,6.05999994,59,4976,0.1,11.160000152,4.87394967563025,5.83277314436975,3.73277312647059,1.69243698403361,2.04033614243697,233.37599182,9.540000152,9.859999944,2.8974790112605,14.1731092708403,0.0798319327731093,8.970000266,9.972999667,2.9621848787395,13.8957981788235,0.26386555487395,785,3.11999989,0.0364,0,6.4000001,58,4261,0,202.79194641,2.75999999,0
"2017-01-27 06:19:58",50,5.01999998,56,4449,6.08999968,59,5352,0.1,14.520000418,5.55583342675,4.97666672841667,3.742500028,1.93666667575,1.74500001733333,253.01099205125,9.740000437,9.822999763,2.95500002083333,14.0900000095,0.09,9.270000266,9.933999921,2.90250000333333,13.8333331908333,0.266666675333333,785,3.11999989,0.038,0,6.5,58,4141,17.870000385,124.73243530725,2.712999964,0.403333338083333
"2017-01-27 06:29:55",49,5.38000011,56,4523,5.85999966,59,5135,11.820000419,0,5.2781513594958,5.35126050579832,3.73613448848739,1.86386556033613,1.87226892815126,264.79199219,9.890000437,9.862999915,2.94621850865546,14.1983193389076,0.0789915966386555,9.50000019,9.975999832,2.94621848941176,13.9647057881513,0.247899167563025,784,2.99000001,0.0341,0,6.5999999,58,4006,2.989999962,201.081956880756,2.64299989,0
"2017-01-27 06:39:57",49,5.42999983,56,4597,5.76999998,59,5021,22.400000459,0.01,5.18083339508333,5.49583338875,3.73000002,1.807500005,1.922500015,264.79199219,9.860000323,9.860999869,2.895833359,14.1741667030833,0.08,9.500000095,9.978999709,2.92750000583333,13.9349998875833,0.251666674666667,784,3.12999988,0.036,0,6.5,58,3945,0,202.57902527,2.754999995,0
"2017-01-27 06:49:59",49,5.4000001,56,4404,5.67000008,59,5003,0.1,11.749999962,5.65166679175,4.98250003641667,3.74416668908333,1.96833334208333,1.74500001325,264.79199219,9.780000114,9.866999818,2.92666668891667,14.201666673,0.08,9.370000361,9.980999755,2.94416666941667,13.9608332399167,0.248333341333333,787,3.12999988,0.0372,0,6.5,58,4002,0,202.57902527,2.858999897,0
"2017-01-27 06:59:56",49,5.4000001,56,4800,5.62999964,58,5198,0.1,15.340000209,4.92857154033613,5.7369748202521,3.73529413445378,1.73025210588235,2.00504202857143,264.79199219,9.450000285,9.868999768,2.90756304840336,14.1773109515126,0.080672268907563,9.280000114,9.974999617,2.96890756462185,13.9033612088235,0.264705891092437,786,3.12999988,0.0373,0,6.5,58,4418,0,202.57902527,2.894999865,0
"2017-01-27 07:09:58",49,5.4000001,56,4784,5.50999975,59,5207,10.280000611,0.01,5.44000008075,5.16583337766667,3.7391666775,1.90250000375,1.80583334,264.79199219,9.450000285,9.86999979,0.914166671916667,14.420000266,0.03,9.210000038,9.983999824,0.865833334083333,14.1500001029167,0.07833333575,788,3.12999988,0.036,0,6.5,58,4252,0,202.57902527,2.923999836,0
"2017-01-27 07:19:55",49,5.42999983,56,4679,5.44999981,59,5140,18.330000477,0.05,5.39243705302521,5.28067232957983,3.75630253563025,1.8974789994958,1.85882353613445,219.911989101765,9.750000285,9.84499979,0,14.60000038,0,9.490000152,9.94999981,0,14.30000019,0,787,3.07999992,0.0355,0,6.5,58,4203,16.90000019,125.418863678487,2.873999881,0.473949584621849
"2017-01-27 07:29:57",49,5.33999968,56,4498,5.80999994,58,4978,0.1,8.660000076,4.99916679808333,5.68000005066667,3.725000025,1.7391666775,1.9858333475,188.49598694,10.00000019,9.863999844,0,14.60000038,0,9.669999981,9.980999755,0,14.30000019,0,787,3.07999992,0.0618,0,6.5,58,3949,2.989999962,199.370949298917,2.889999868,0
