"","AMBIENT_TEMP.PROCESS_VALUE","BIO_1.LEVEL.PROCESS_VALUE","BIO_1.TEMPERATURE.PROCESS_VALUE","BIO_1.TSS.PROCESS_VALUE","BIO_2.LEVEL.PROCESS_VALUE","BIO_2.TEMPERATURE.PROCESS_VALUE","BIO_2.TSS.PROCESS_VALUE","BIO_BLOWER_1.FLOW.PROCESS_VALUE","BIO_BLOWER_2.FLOW.PROCESS_VALUE","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_1","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_2","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_1","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_2","MBR.BATCH_VOLUME","MBR_1.INF_FLOW.PROCESS_VALUE","MBR_1.LEVEL.PROCESS_VALUE","MBR_1.PERM_FLOW.PROCESS_VALUE","MBR_1.PERM_PRESS.PROCESS_VALUE","MBR_1.TRANS_PRESS.PROCESS_VALUE","MBR_2.INF_FLOW.PROCESS_VALUE","MBR_2.LEVEL.PROCESS_VALUE","MBR_2.PERM_FLOW.PROCESS_VALUE","MBR_2.PERM_PRESS.PROCESS_VALUE","MBR_2.TRANS_PRESS.PROCESS_VALUE","PERMEATE_TANK.CONDUCTIVITY.PROCESS_VALUE","PERMEATE_TANK.LEVEL.PROCESS_VALUE","PERMEATE_TANK.TURBIDITY.PROCESS_VALUE","RAS_TROUGH.DO.PROCESS_VALUE","RAS_TROUGH.PH.PROCESS_VALUE","RAS_TROUGH.TEMPERATURE.PROCESS_VALUE","RAS_TROUGH.TSS.PROCESS_VALUE","SEWAGE.FLOW.PROCESS_VALUE","SEWAGE.FLOW.TOTAL_BATCH","SEWAGE.LEVEL.PROCESS_VALUE","WAS_FLOW.PROCESS_VALUE"
"2017-01-17 05:39:57",55,5.29999971,58,4318,5.87999964,61,4478,0.1,0.01,5.82750012033333,4.71500014408333,3.715000035,2.01916667875,1.69583335625,152.59199524,10.490000247,9.852999688,2.91666673716667,10.1166668329167,4.08166680241667,9.420000361,9.999999712,2.92583334075,11.6258335581667,2.70666671825,806,3.13999987,0.118800006,7.5999999,6.5,67,4345,8.85000019,139.2981971095,2.729999996,0
"2017-01-17 05:49:59",55,5.23999977,58,4352,5.96999979,60,4428,0.1,26.220000456,5.13000012191667,5.32833349641667,3.7141667025,1.77166667625,1.9116666925,152.59199524,10.410000418,9.878999711,2.90166670716667,10.2100002913333,4.09833350891667,9.500000095,10.010999869,2.8316666515,11.364166863,2.80500004766667,806,3.0999999,0.120600007,7.5999999,6.5,67,4239,0,152.50338745,2.772999977,0
"2017-01-17 05:59:56",55,5.15999985,58,4344,5.94999981,60,4499,0.1,0.050000001,5.22184886403361,5.26806732747899,3.72773112722689,1.82268908487395,1.90504204235294,152.59199524,10.340000342,9.876999665,2.97899167445378,9.82100864126051,4.33025220008403,9.430000399,10.01999998,2.92521010369748,11.6243699969748,2.68655467773109,804,3.11999989,0.114300005,7.5999999,6.5,67,4246,0,152.50338745,2.818999931,0
"2017-01-17 06:09:57",55,5.11999989,58,4590,5.92999983,60,4473,27.390000344,0,5.72083347583333,4.787500095,3.71333337,1.98666668,1.72666669,152.59199524,10.310000038,9.872999669,2.97750006516667,10.23416677275,4.04000011216667,8.740000248,10.011999892,2.87333334491667,11.6758335423333,2.65416671575,804,3.08999991,0.111300007,7.5999999,6.5,67,4644,0,152.50338745,2.845999904,0
"2017-01-17 06:19:59",55,5,58,4549,5.94000006,60,4441,0.1,0,4.928333441,5.50583352966667,3.7166667,1.71250000625,1.97333336,152.59199524,10.679999924,9.881999685,1.02083335458333,11.6858336674167,2.48750006066667,7.640000106,10.015999888,1.80750000958333,13.1450002818333,1.02666667741667,803,3.06999993,0.042400001,7.5999999,6.5,67,4422,0,152.50338745,2.861999898,0
"2017-01-17 06:29:56",55,4.98000002,58,4209,5.96000004,60,4732,0.1,23.70000038,5.59831943789916,4.92184884168067,3.73781516529412,1.95462186453782,1.7831933007563,165.716567353361,10.560000228,9.870999719,0,12.40000057,1.70000005,8.35000019,10.0039999,1.29243701823529,13.60000038,0.40000001,804,3.06999993,0.0142,7.5999999,6.5,67,4343,5.460000228,121.55505445395,2.853999904,0.389075643865546
"2017-01-17 06:39:58",55,5.17000008,58,4377,5.77999973,60,4390,0.1,0.160000002,5.36416678383333,5.13666677433333,3.7141667025,1.8641666775,1.850000025,206.44799805,10.770000171,9.871999647,0,12.40000057,1.70000005,8.80000019,9.994999789,1.20666671533333,13.60000038,0.40000001,804,3.06999993,0.0124,7.5999999,6.5999999,67,4411,8.840000152,137.5016428015,2.765999984,0
"2017-01-17 06:49:55",55,5.30999994,58,4221,5.78999996,60,4328,30.900000534,0,5.1848741012605,5.37563044210084,3.71596642058824,1.78823530210084,1.92773111848739,206.44799805,10.590000152,9.891999627,0,12.40000057,1.70000005,9.310000228,10.018999957,1.17394962201681,13.60000038,0.40000001,803,3.06999993,0.0128,7.5999999,6.70000029,67,4256,0,152.51502991,2.822999927,0
"2017-01-17 06:59:57",55,5.27999973,57,3908,5.77999973,60,4316,3.560000076,0,5.75666681075,4.81333351066667,3.74583335408333,2.00666666625,1.73916668783333,206.44799805,10.520000266,9.882999708,0,12.40000057,1.70000005,9.50000019,10.017999934,1.1450000335,13.60000038,0.40000001,803,3.06999993,0.012,7.5999999,6.5999999,67,4303,0,152.51502991,2.874999885,0
"2017-01-17 07:09:59",55,5.26999998,57,4073,5.79999971,60,3983,0.1,17.860000021,5.04666683608333,5.49000014408333,3.7175000325,1.7441666725,1.97333336,206.44799805,10.470000266,9.886999705,0,12.40000057,1.70000005,9.320000171,10.011999892,1.10583335508333,13.60000038,0.40000001,803,3.05999994,0.0121,7.5999999,6.5999999,67,4515,0,152.51502991,2.913999846,0
